Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,54922.00,55578.00,56320.00,57002.00,57619.00,58190.00,58694.00,58990.00,59069.00,59052.00,58950.00,58781.00,58047.00,58299.00,58349.00,58295.00,58368.00,58580.00,58776.00,59191.00,59909.00,60563.00,61276.00,62228.00,62901.00,61728.00,59931.00,59159.00,59331.00,60443.00,62753.00,65896.00,69005.00,73685.00,77595.00,79805.00,83021.00,86301.00,88451.00,89659.00,90588.00,91439.00,92074.00,93128.00,95138.00,97635.00,99405.00,100150.00,100917.00,101604.00,101838.00,102591.00,104110.00,105675.00,106807.00,107906.00,108727.00,108735.00,108908.00,109203.00,108587.00,107700.00,107310.00,107359.00
Africa Eastern and Southern,AFE,130072080.00,133534923.00,137171659.00,140945536.00,144904094.00,149033472.00,153281203.00,157704381.00,162329396.00,167088245.00,171984985.00,177022314.00,182126556.00,187524135.00,193186642.00,198914573.00,204802976.00,210680842.00,217074286.00,223974122.00,230792729.00,238043099.00,245822010.00,253644643.00,261458202.00,269450407.00,277621771.00,286067346.00,294498625.00,302939121.00,311748681.00,320442961.00,329082707.00,338324002.00,347441809.00,356580375.00,366138524.00,375646235.00,385505757.00,395750933.00,406156661.00,416807868.00,427820358.00,439173286.00,450928044.00,463076637.00,475606210.00,488580707.00,502070763.00,516003448.00,530308387.00,544737983.00,559609961.00,575202699.00,590968990.00,607123269.00,623369401.00,640058741.00,657801085.00,675950189.00,694446100.00,713090928.00,731821393.00,750503764.00
Afghanistan,AFG,9035043.00,9214083.00,9404406.00,9604487.00,9814318.00,10036008.00,10266395.00,10505959.00,10756922.00,11017409.00,11290128.00,11567667.00,11853696.00,12157999.00,12469127.00,12773954.00,13059851.00,13340756.00,13611441.00,13655567.00,13169311.00,11937581.00,10991378.00,10917982.00,11190221.00,11426852.00,11420074.00,11387818.00,11523298.00,11874088.00,12045660.00,12238879.00,13278974.00,14943172.00,16250794.00,17065836.00,17763266.00,18452091.00,19159996.00,19887785.00,20130327.00,20284307.00,21378117.00,22733049.00,23560654.00,24404567.00,25424094.00,25909852.00,26482622.00,27466101.00,28284089.00,29347708.00,30560034.00,31622704.00,32792523.00,33831764.00,34700612.00,35688935.00,36743039.00,37856121.00,39068979.00,40000412.00,40578842.00,41454761.00
Africa Western and Central,AFW,97630925.00,99706674.00,101854756.00,104089175.00,106388440.00,108772632.00,111246953.00,113795019.00,116444636.00,119203521.00,122086536.00,125072948.00,128176494.00,131449942.00,134911581.00,138569918.00,142337272.00,146258576.00,150402616.00,154721711.00,159166518.00,163762473.00,168585118.00,173255157.00,177880746.00,182811038.00,187889141.00,193104347.00,198485027.00,204062274.00,209566031.00,215178709.00,221191375.00,227246778.00,233360104.00,239801875.00,246415446.00,253207584.00,260297834.00,267506298.00,274968446.00,282780717.00,290841795.00,299142845.00,307725100.00,316588476.00,325663158.00,334984176.00,344586109.00,354343844.00,364358270.00,374790143.00,385360349.00,396030207.00,406992047.00,418127845.00,429454743.00,440882906.00,452195915.00,463365429.00,474569351.00,485920997.00,497387180.00,509398589.00
Angola,AGO,5231654.00,5301583.00,5354310.00,5408320.00,5464187.00,5521981.00,5581386.00,5641807.00,5702699.00,5763685.00,5852788.00,5991102.00,6174262.00,6388528.00,6613367.00,6842947.00,7074664.00,7317829.00,7576734.00,7847207.00,8133872.00,8435607.00,8751648.00,9082983.00,9425917.00,9779120.00,10139450.00,10497858.00,10861291.00,11238562.00,11626360.00,12023529.00,12423712.00,12827135.00,13249764.00,13699778.00,14170973.00,14660413.00,15159370.00,15667235.00,16194869.00,16747208.00,17327699.00,17943712.00,18600423.00,19291161.00,20015279.00,20778561.00,21578655.00,22414773.00,23294825.00,24218352.00,25177394.00,26165620.00,27160769.00,28157798.00,29183070.00,30234839.00,31297155.00,32375632.00,33451132.00,34532429.00,35635029.00,36749906.00
Albania,ALB,1608800.00,1659800.00,1711319.00,1762621.00,1814135.00,1864791.00,1914573.00,1965598.00,2022272.00,2081695.00,2135479.00,2187853.00,2243126.00,2296752.00,2350124.00,2404831.00,2458526.00,2513546.00,2566266.00,2617832.00,2671997.00,2726056.00,2784278.00,2843960.00,2904429.00,2964762.00,3022635.00,3083605.00,3142336.00,3227943.00,3286542.00,3266790.00,3247039.00,3227287.00,3207536.00,3187784.00,3168033.00,3148281.00,3128530.00,3108778.00,3089027.00,3060173.00,3051010.00,3039616.00,3026939.00,3011487.00,2992547.00,2970017.00,2947314.00,2927519.00,2913021.00,2905195.00,2900401.00,2895092.00,2889104.00,2880703.00,2876101.00,2873457.00,2866376.00,2854191.00,2837849.00,2811666.00,2777689.00,2745972.00
Andorra,AND,9510.00,10283.00,11086.00,11915.00,12764.00,13634.00,14626.00,15837.00,17176.00,18555.00,19977.00,21442.00,22957.00,24523.00,26130.00,27773.00,29436.00,31097.00,32735.00,34306.00,35782.00,37169.00,38764.00,40565.00,42273.00,43825.00,45734.00,47653.00,49416.00,50620.00,52597.00,56667.00,60200.00,63272.00,64612.00,63912.00,63984.00,64700.00,65382.00,65710.00,65685.00,65852.00,66506.00,69486.00,74325.00,77421.00,79585.00,81877.00,83495.00,83888.00,80706.00,77783.00,76834.00,75194.00,73737.00,72174.00,72181.00,73763.00,75162.00,76474.00,77380.00,78364.00,79705.00,80856.00
Arab World,ARB,91540853.00,93931683.00,96428599.00,99038509.00,101729760.00,104494008.00,107403055.00,110491709.00,113712171.00,117053219.00,120469263.00,123950810.00,127535560.00,131335660.00,135282861.00,139495837.00,144014135.00,148599336.00,153568663.00,159054118.00,164657321.00,170015485.00,175370356.00,180973288.00,186733957.00,192563243.00,198509771.00,204524595.00,210269696.00,215969068.00,223184294.00,228402316.00,234321565.00,240926205.00,247626514.00,253952538.00,260229121.00,266565183.00,273094199.00,279709634.00,286548096.00,293580252.00,300691509.00,307815105.00,315060277.00,322628451.00,330526310.00,338947976.00,347684619.00,356386673.00,363568534.00,372054934.00,381030177.00,390954281.00,400231008.00,410190679.00,419808341.00,428315886.00,435998060.00,444281315.00,453723239.00,460646603.00,471352066.00,481667539.00
United Arab Emirates,ARE,131334.00,137989.00,144946.00,152211.00,159692.00,167103.00,173976.00,179700.00,199416.00,239660.00,286536.00,335027.00,385014.00,436399.00,489087.00,542856.00,615866.00,710209.00,809274.00,912010.00,1015700.00,1099855.00,1166370.00,1235305.00,1305996.00,1377911.00,1467383.00,1574244.00,1681788.00,1789851.00,1898220.00,2006626.00,2114730.00,2222093.00,2328188.00,2434662.00,2597564.00,2817410.00,3040421.00,3266009.00,3493575.00,3723590.00,3956826.00,4192457.00,4428967.00,4664790.00,5009100.00,5624635.00,6302664.00,6707058.00,6869838.00,7104538.00,7391448.00,7693031.00,8059440.00,8505237.00,8935095.00,9223225.00,9346701.00,9445785.00,9401038.00,9575152.00,10074977.00,10483751.00
Argentina,ARG,20386045.00,20726276.00,21072538.00,21421705.00,21769453.00,22112629.00,22453893.00,22799059.00,23150583.00,23508711.00,23878327.00,24257208.00,24644328.00,25046005.00,25461351.00,25874107.00,26282283.00,26701805.00,27132158.00,27568895.00,28011596.00,28463959.00,28924262.00,29391332.00,29863093.00,30336441.00,30811980.00,31291762.00,31780532.00,32270948.00,32755901.00,33230294.00,33693527.00,34152717.00,34613491.00,35070020.00,35513793.00,35947791.00,36372860.00,36794682.00,37213984.00,37624825.00,38029349.00,38424282.00,38815916.00,39216789.00,39622115.00,40016763.00,40424148.00,40854831.00,41288694.00,41730660.00,42161721.00,42582455.00,43024071.00,43477012.00,43900313.00,44288894.00,44654882.00,44973465.00,45191965.00,45312281.00,45407904.00,45538401.00
