Country,Year,AverageTemperature
France,1743,10.7525
France,1744,13.815625
France,1745,7.3475
France,1750,13.435454545454546
France,1751,13.473625
France,1752,9.792083333333332
France,1753,12.963130434782608
France,1754,12.658666666666667
France,1755,12.374541666666666
France,1756,12.720374999999999
France,1757,12.492458333333333
France,1758,12.000125000000002
France,1759,13.106291666666666
France,1760,12.932416666666667
France,1761,13.010916666666667
France,1762,12.681166666666668
France,1763,12.398166666666667
France,1764,12.873166666666668
France,1765,12.758083333333333
France,1766,12.382130434782608
France,1767,12.47525
France,1768,12.374083333333333
France,1769,12.44508695652174
France,1770,12.584173913043477
France,1771,12.709249999999999
France,1772,13.786208333333335
France,1773,12.689416666666666
France,1774,12.819208333333334
France,1775,13.299624999999999
France,1776,12.731541666666667
France,1777,12.556958333333334
France,1778,13.359260869565217
France,1779,13.612208333333333
France,1780,12.95182608695652
France,1781,13.722652173913042
France,1782,11.628391304347826
France,1783,13.293916666666668
France,1784,11.798478260869565
France,1785,12.186291666666667
France,1786,12.389916666666666
France,1787,13.011625
France,1788,13.152583333333332
France,1789,12.264375000000001
France,1790,13.496695652173914
France,1791,13.168708333333335
France,1792,12.96275
France,1793,12.987250000000001
France,1794,13.386249999999999
France,1795,12.944260869565218
France,1796,13.095565217391304
France,1797,12.995583333333334
France,1798,12.955958333333333
France,1799,11.739125000000001
France,1800,13.110916666666666
France,1801,13.179625
France,1802,13.469869565217392
France,1803,12.605916666666666
France,1804,12.913869565217391
France,1805,11.706958333333333
France,1806,13.353499999999999
France,1807,12.799583333333333
France,1808,12.157434782608695
France,1809,12.282125
France,1810,12.365521739130436
France,1811,13.406333333333334
France,1812,11.403652173913043
France,1813,12.231
France,1814,11.6135
France,1815,12.464999999999998
France,1816,11.025782608695653
France,1817,12.660913043478262
France,1818,12.997695652173913
France,1819,13.025083333333333
France,1820,12.347458333333334
France,1821,12.774478260869564
France,1822,13.852458333333333
France,1823,12.389708333333333
France,1824,12.873624999999999
France,1825,12.856608695652174
France,1826,12.931375000000001
France,1827,12.560458333333331
France,1828,13.442375
France,1829,11.538125
France,1830,12.339458333333333
France,1831,13.05941666666667
France,1832,12.544666666666666
France,1833,12.652916666666664
France,1834,13.708041666666666
France,1835,12.352916666666665
France,1836,12.168434782608697
France,1837,12.356478260869565
France,1838,11.986041666666667
France,1839,12.705874999999999
France,1840,12.297000000000002
France,1841,12.779541666666667
France,1842,12.418416666666667
France,1843,12.6965
France,1844,12.380708333333333
France,1845,12.210916666666668
France,1846,13.667083333333332
France,1847,12.471166666666667
France,1848,12.733347826086957
France,1849,12.779041666666666
France,1850,11.71204347826087
France,1851,12.154782608695653
France,1852,13.171958333333334
France,1853,11.894
France,1854,12.489708333333333
France,1855,11.689625
France,1856,12.748791666666667
France,1857,12.893541666666666
France,1858,12.353041666666668
France,1859,13.228541666666667
France,1860,11.675083333333333
France,1861,12.768916666666668
France,1862,13.23225
France,1863,13.18441666666667
France,1864,12.195304347826088
France,1865,13.103000000000002
France,1866,13.149499999999998
France,1867,12.769416666666666
France,1868,13.394375000000002
France,1869,12.688375
France,1870,12.265791666666667
France,1871,11.957708333333334
France,1872,13.369173913043477
France,1873,12.876750000000001
France,1874,12.76073913043478
France,1875,12.542791666666666
France,1876,12.915166666666666
France,1877,12.907916666666665
France,1878,12.685208333333334
France,1879,11.638583333333331
France,1880,12.920708333333332
France,1881,12.536541666666666
France,1882,12.912173913043478
France,1883,12.274000000000001
France,1884,12.809458333333334
France,1885,12.356166666666667
France,1886,12.5525
France,1887,12.18991304347826
France,1888,11.773083333333332
France,1889,11.949874999999999
France,1890,11.71586956521739
France,1891,12.032333333333334
France,1892,12.94304347826087
France,1893,13.127666666666668
France,1894,12.689124999999999
France,1895,12.442791666666666
France,1896,12.173833333333334
France,1897,12.783217391304348
France,1898,13.182541666666665
France,1899,13.267916666666666
France,1900,13.118333333333332
France,1901,12.282958333333333
France,1902,12.451208333333334
France,1903,12.628083333333334
France,1904,13.003
France,1905,12.406916666666667
France,1906,12.916695652173914
France,1907,12.569
France,1908,12.271826086956523
France,1909,12.089583333333332
France,1910,12.564791666666666
France,1911,13.422166666666667
France,1912,12.640739130434783
France,1913,13.073958333333332
France,1914,12.99291304347826
France,1915,12.523000000000001
France,1916,12.824208333333333
France,1917,11.950333333333333
France,1918,12.729
France,1919,12.165750000000001
France,1920,12.901217391304348
France,1921,13.460565217391306
France,1922,12.465708333333334
France,1923,12.672652173913043
France,1924,12.71725
France,1925,12.522541666666667
France,1926,13.275
France,1927,12.985
France,1928,13.382583333333335
France,1929,12.668291666666667
France,1930,13.315458333333334
France,1931,12.544333333333334
France,1932,13.040304347826089
France,1933,12.769374999999998
France,1934,13.39575
France,1935,12.965625000000001
France,1936,12.606695652173913
France,1937,13.436875
France,1938,13.222521739130434
France,1939,12.854875
France,1940,12.221083333333333
France,1941,12.222708333333335
France,1942,12.726791666666665
France,1943,13.792625
France,1944,12.918434782608694
France,1945,13.638541666666667
France,1946,13.032125
France,1947,13.569043478260868
France,1948,13.487291666666666
France,1949,13.466772727272724
France,1950,13.42075
France,1951,13.442826086956522
France,1952,13.136125
France,1953,13.210291666666668
France,1954,12.461173913043478
France,1955,13.137041666666667
France,1956,12.027083333333332
France,1957,13.247608695652175
France,1958,13.066541666666666
France,1959,13.716833333333334
France,1960,13.084458333333332
France,1961,13.783541666666666
France,1962,12.339625
France,1963,12.041333333333334
France,1964,13.113833333333334
France,1965,12.698000000000002
France,1966,13.214833333333333
France,1967,13.299166666666666
France,1968,12.592347826086957
France,1969,12.783333333333333
France,1970,12.998
France,1971,13.066916666666666
France,1972,12.670875
France,1973,13.034125000000001
France,1974,13.088375
France,1975,13.058749999999998
France,1976,13.328625
France,1977,13.073833333333333
France,1978,12.517608695652173
France,1979,12.776541666666667
France,1980,12.291521739130435
France,1981,13.217565217391305
France,1982,13.842869565217393
France,1983,13.05117391304348
France,1984,12.772782608695652
France,1985,12.692708333333334
France,1986,13.016583333333335
France,1987,12.959458333333332
France,1988,13.829260869565216
France,1989,14.106333333333334
France,1990,14.193
France,1991,13.141375000000002
France,1992,13.643583333333332
France,1993,13.267166666666666
France,1994,14.363624999999999
France,1995,13.907583333333333
France,1996,12.929499999999999
France,1997,14.461739130434783
France,1998,13.718916666666665
France,1999,14.115124999999999
France,2000,14.118875000000001
France,2001,13.978666666666667
