Country,Year,AverageTemperature
Japan,1841,13.717916666666667
Japan,1842,14.181333333333333
Japan,1843,14.31841666666667
Japan,1844,13.971083333333333
Japan,1845,13.053666666666667
Japan,1846,13.420875
Japan,1847,13.342583333333332
Japan,1848,13.236083333333333
Japan,1849,13.223458333333333
Japan,1850,12.792458333333334
Japan,1851,12.768125
Japan,1852,12.759916666666667
Japan,1853,13.896045454545456
Japan,1854,13.904565217391305
Japan,1855,13.984608695652174
Japan,1856,13.427608695652173
Japan,1857,13.070291666666668
Japan,1858,13.291041666666665
Japan,1859,12.474545454545455
Japan,1860,12.76975
Japan,1861,12.866
Japan,1862,12.430608695652174
Japan,1863,13.449958333333333
Japan,1864,12.976833333333333
Japan,1865,13.820652173913043
Japan,1866,12.7055
Japan,1867,13.535708333333334
Japan,1868,13.771
Japan,1869,13.217500000000001
Japan,1870,14.788736842105262
Japan,1871,13.274041666666667
Japan,1872,13.111166666666668
Japan,1873,12.588739130434783
Japan,1874,14.220727272727272
Japan,1875,13.201833333333333
Japan,1876,13.4225
Japan,1877,13.715333333333334
Japan,1878,13.321916666666667
Japan,1879,13.825208333333334
Japan,1880,13.434666666666667
Japan,1881,13.197416666666667
Japan,1882,13.280416666666666
Japan,1883,13.062833333333332
Japan,1884,12.294583333333334
Japan,1885,12.704833333333333
Japan,1886,13.359583333333333
Japan,1887,13.279125
Japan,1888,13.2325
Japan,1889,12.405217391304348
Japan,1890,14.49675
Japan,1891,13.462874999999999
Japan,1892,12.521954545454546
Japan,1893,12.41908695652174
Japan,1894,14.09175
Japan,1895,13.311291666666667
Japan,1896,13.757217391304348
Japan,1897,13.479652173913042
Japan,1898,13.594
Japan,1899,13.383478260869564
Japan,1900,13.215916666666667
Japan,1901,13.251166666666668
Japan,1902,13.603565217391305
Japan,1903,13.398416666666668
Japan,1904,13.325916666666666
Japan,1905,13.273541666666667
Japan,1906,12.819041666666665
Japan,1907,13.030333333333333
Japan,1908,12.919333333333332
Japan,1909,13.098625
Japan,1910,13.039166666666667
Japan,1911,13.696708333333333
Japan,1912,13.345041666666667
Japan,1913,12.581608695652175
Japan,1914,14.16175
Japan,1915,13.81391304347826
Japan,1916,14.204333333333333
Japan,1917,12.939541666666665
Japan,1918,13.114125000000001
Japan,1919,13.615083333333333
Japan,1920,13.621130434782609
Japan,1921,12.389318181818181
Japan,1922,13.904375
Japan,1923,13.665416666666667
Japan,1924,13.321958333333335
Japan,1925,13.225208333333333
Japan,1926,12.921875
Japan,1927,13.285125
Japan,1928,13.582
Japan,1929,13.480833333333331
Japan,1930,13.436434782608696
Japan,1931,12.967391304347826
Japan,1932,13.549416666666668
Japan,1933,13.704791666666667
Japan,1934,13.062333333333333
Japan,1935,13.445166666666665
Japan,1936,13.043833333333334
Japan,1937,13.935625
Japan,1938,13.640583333333332
Japan,1939,13.787333333333335
Japan,1940,13.679708333333332
Japan,1941,13.706625
Japan,1942,13.807625
Japan,1943,13.475208333333333
Japan,1944,13.392833333333334
Japan,1945,12.843833333333334
Japan,1946,13.903374999999999
Japan,1947,12.162454545454546
Japan,1948,14.244375
Japan,1949,13.643708333333334
Japan,1950,14.175666666666666
Japan,1951,13.742333333333333
Japan,1952,13.742791666666667
Japan,1953,13.742875
Japan,1954,13.928875
Japan,1955,14.951304347826087
Japan,1956,13.635083333333334
Japan,1957,13.624
Japan,1958,14.208499999999999
Japan,1959,14.687416666666666
Japan,1960,14.804478260869567
Japan,1961,14.715208333333335
Japan,1962,14.014000000000001
Japan,1963,13.88604347826087
Japan,1964,14.217958333333334
Japan,1965,13.268666666666668
Japan,1966,13.823208333333334
Japan,1967,13.959249999999999
Japan,1968,13.687291666666667
Japan,1969,13.679666666666668
Japan,1970,13.527416666666667
Japan,1971,13.695916666666667
Japan,1972,14.117416666666665
Japan,1973,14.004666666666667
Japan,1974,13.394583333333332
Japan,1975,13.919083333333333
Japan,1976,13.27625
Japan,1977,14.039166666666667
Japan,1978,14.223666666666666
Japan,1979,14.722666666666667
Japan,1980,13.374041666666669
Japan,1981,13.217916666666667
Japan,1982,13.889375
Japan,1983,13.919375
Japan,1984,13.55695652173913
Japan,1985,14.433304347826088
Japan,1986,13.388541666666667
Japan,1987,14.391458333333333
Japan,1988,13.554
Japan,1989,14.366166666666667
Japan,1990,15.130833333333333
Japan,1991,14.34575
Japan,1992,14.076125
Japan,1993,13.585875
Japan,1994,14.918333333333331
Japan,1995,13.90275
Japan,1996,13.699666666666666
Japan,1997,14.403666666666666
Japan,1998,15.424130434782608
Japan,1999,14.460000000000003
Japan,2000,14.542666666666667
Japan,2001,14.261458333333332
Japan,2002,14.565958333333334
Japan,2003,14.075958333333332
Japan,2004,15.119916666666667
Japan,2005,14.175458333333333
Japan,2006,14.357
Japan,2007,14.856583333333333
Japan,2008,14.430916666666667
Japan,2009,14.580416666666666
Japan,2010,15.465590909090908
Japan,2011,14.349166666666667
Japan,2012,14.127083333333333
Japan,2013,14.953999999999999
