Country,Year,AverageTemperature
South Africa,1857,14.751291666666667
South Africa,1858,15.021125
South Africa,1859,15.038874999999999
South Africa,1860,15.39375
South Africa,1861,15.168708333333333
South Africa,1862,14.734124999999999
South Africa,1863,15.024708333333335
South Africa,1864,15.142416666666668
South Africa,1865,15.618869565217391
South Africa,1866,15.186391304347826
South Africa,1867,15.418166666666666
South Africa,1868,15.024625
South Africa,1869,15.443416666666666
South Africa,1870,14.947695652173914
South Africa,1871,15.272875
South Africa,1872,15.2305
South Africa,1873,15.019874999999999
South Africa,1874,15.132541666666667
South Africa,1875,14.984875
South Africa,1876,14.919333333333334
South Africa,1877,15.265260869565218
South Africa,1878,15.26191304347826
South Africa,1879,14.729124999999998
South Africa,1880,15.296727272727274
South Africa,1881,15.106
South Africa,1882,15.25391304347826
South Africa,1883,15.20825
South Africa,1884,14.949208333333333
South Africa,1885,15.374791666666667
South Africa,1886,15.403208333333334
South Africa,1887,15.097666666666667
South Africa,1888,15.150434782608695
South Africa,1889,15.427624999999999
South Africa,1890,15.011583333333334
South Africa,1891,15.195666666666666
South Africa,1892,14.599818181818183
South Africa,1893,15.071347826086958
South Africa,1894,14.81009090909091
South Africa,1895,15.070500000000001
South Africa,1896,15.626875
South Africa,1897,15.277291666666665
South Africa,1898,14.643782608695654
South Africa,1899,15.160208333333335
South Africa,1900,15.616624999999999
South Africa,1901,15.244583333333333
South Africa,1902,15.269782608695651
South Africa,1903,14.822250000000002
South Africa,1904,14.875708333333334
South Africa,1905,15.055
South Africa,1906,14.818375000000001
South Africa,1907,14.841478260869565
South Africa,1908,15.015625
South Africa,1909,15.307291666666666
South Africa,1910,15.058708333333334
South Africa,1911,15.230666666666666
South Africa,1912,15.430166666666667
South Africa,1913,15.622041666666668
South Africa,1914,15.564608695652174
South Africa,1915,15.381625
South Africa,1916,15.377625
South Africa,1917,14.914333333333332
South Africa,1918,15.298583333333333
South Africa,1919,15.669458333333333
South Africa,1920,15.685125
South Africa,1921,15.160541666666667
South Africa,1922,15.575625
South Africa,1923,15.724833333333335
South Africa,1924,15.047583333333334
South Africa,1925,15.444291666666667
South Africa,1926,15.604083333333334
South Africa,1927,16.06
South Africa,1928,15.499608695652173
South Africa,1929,15.641458333333333
South Africa,1930,15.808863636363638
South Africa,1931,15.741833333333334
South Africa,1932,15.914708333333332
South Africa,1933,15.722708333333335
South Africa,1934,16.089782608695653
South Africa,1935,15.224708333333334
South Africa,1936,15.24208695652174
South Africa,1937,15.759458333333333
South Africa,1938,15.642916666666666
South Africa,1939,15.466666666666667
South Africa,1940,15.789499999999999
South Africa,1941,16.020083333333332
South Africa,1942,15.843250000000003
South Africa,1943,15.170041666666668
South Africa,1944,15.761708333333333
South Africa,1945,16.102521739130434
South Africa,1946,15.527565217391304
South Africa,1947,15.778374999999999
South Africa,1948,15.605833333333331
South Africa,1949,15.959791666666666
South Africa,1950,15.559782608695652
South Africa,1951,15.357083333333334
South Africa,1952,15.712208333333335
South Africa,1953,15.565333333333333
South Africa,1954,15.382083333333332
South Africa,1955,14.916347826086957
South Africa,1956,15.559956521739132
South Africa,1957,15.553916666666666
South Africa,1958,16.08795652173913
South Africa,1959,15.613541666666668
South Africa,1960,15.824625
South Africa,1961,15.837375
South Africa,1962,15.854375
South Africa,1963,16.055833333333332
South Africa,1964,15.606041666666668
South Africa,1965,15.644166666666665
South Africa,1966,15.973166666666666
South Africa,1967,15.510041666666666
South Africa,1968,15.414541666666667
South Africa,1969,15.853958333333333
South Africa,1970,15.732166666666666
South Africa,1971,15.468541666666667
South Africa,1972,16.140545454545453
South Africa,1973,15.997695652173913
South Africa,1974,15.680250000000001
South Africa,1975,15.621125
South Africa,1976,15.140434782608697
South Africa,1977,15.753347826086957
South Africa,1978,15.878041666666666
South Africa,1979,16.112083333333334
South Africa,1980,15.79575
South Africa,1981,15.424739130434784
South Africa,1982,15.961583333333332
South Africa,1983,16.196541666666665
South Africa,1984,16.409695652173912
South Africa,1985,16.31929166666667
South Africa,1986,16.22908695652174
South Africa,1987,16.186375
South Africa,1988,16.08275
South Africa,1989,15.8055
South Africa,1990,15.975916666666668
South Africa,1991,16.017
South Africa,1992,16.56604347826087
South Africa,1993,16.410125
South Africa,1994,15.937541666666666
South Africa,1995,16.347478260869565
South Africa,1996,15.656041666666667
South Africa,1997,16.018708333333333
South Africa,1998,16.494958333333333
South Africa,1999,16.816875
South Africa,2000,16.40573913043478
South Africa,2001,16.298833333333334
South Africa,2002,16.26245833333333
South Africa,2003,16.481041666666666
South Africa,2004,16.23425
South Africa,2005,16.582375
South Africa,2006,16.094583333333333
South Africa,2007,16.306875
South Africa,2008,16.27678260869565
South Africa,2009,16.196708333333333
South Africa,2010,16.391041666666666
South Africa,2011,16.053375
South Africa,2012,16.248291666666667
South Africa,2013,15.514866666666668
