Country,Year,AverageTemperature
Sweden,1743,3.7204999999999995
Sweden,1744,6.7988125
Sweden,1745,-3.6106249999999998
Sweden,1750,6.435772727272728
Sweden,1751,5.5945625
Sweden,1752,1.3875000000000004
Sweden,1753,5.117958333333333
Sweden,1754,4.802130434782609
Sweden,1755,4.738291666666667
Sweden,1756,5.182916666666666
Sweden,1757,5.939809523809523
Sweden,1758,3.782130434782608
Sweden,1759,5.543416666666666
Sweden,1760,4.562666666666667
Sweden,1761,5.855875
Sweden,1762,5.603521739130435
Sweden,1763,4.6390416666666665
Sweden,1764,5.527208333333333
Sweden,1765,5.256652173913043
Sweden,1766,5.89525
Sweden,1767,4.635208333333334
Sweden,1768,4.594833333333333
Sweden,1769,4.536173913043479
Sweden,1770,4.985916666666667
Sweden,1771,4.572521739130435
Sweden,1772,4.7720416666666665
Sweden,1773,6.374083333333334
Sweden,1774,4.509541666666666
Sweden,1775,6.764291666666666
Sweden,1776,5.569083333333334
Sweden,1777,4.789458333333333
Sweden,1778,5.195125
Sweden,1779,6.990333333333332
Sweden,1780,5.420260869565217
Sweden,1781,5.877791666666667
Sweden,1782,4.316166666666667
Sweden,1783,5.842291666666667
Sweden,1784,4.322608695652174
Sweden,1785,3.926625
Sweden,1786,3.9332500000000006
Sweden,1787,5.161333333333333
Sweden,1788,4.283375
Sweden,1789,5.861166666666667
Sweden,1790,5.615708333333333
Sweden,1791,6.253666666666667
Sweden,1792,5.3705
Sweden,1793,5.670583333333333
Sweden,1794,7.386000000000001
Sweden,1795,4.437208333333333
Sweden,1796,5.7519583333333335
Sweden,1797,6.560041666666667
Sweden,1798,6.347083333333333
Sweden,1799,3.7996666666666665
Sweden,1800,4.6894583333333335
Sweden,1801,5.638375
Sweden,1802,5.157166666666667
Sweden,1803,4.413125
Sweden,1804,4.583958333333333
Sweden,1805,3.908125
Sweden,1806,5.270086956521739
Sweden,1807,5.024791666666666
Sweden,1808,4.81775
Sweden,1809,4.210500000000001
Sweden,1810,4.375749999999999
Sweden,1811,5.9647499999999996
Sweden,1812,3.680875
Sweden,1813,5.3955416666666665
Sweden,1814,3.9086521739130435
Sweden,1815,4.940043478260869
Sweden,1816,4.300958333333334
Sweden,1817,5.082041666666666
Sweden,1818,5.410217391304348
Sweden,1819,6.024458333333334
Sweden,1820,4.55675
Sweden,1821,4.955739130434782
Sweden,1822,7.075291666666666
Sweden,1823,5.318708333333333
Sweden,1824,6.2272083333333335
Sweden,1825,5.868083333333334
Sweden,1826,6.604791666666667
Sweden,1827,5.4976521739130435
Sweden,1828,5.104875
Sweden,1829,3.240083333333333
Sweden,1830,4.734749999999999
Sweden,1831,5.220208333333333
Sweden,1832,5.208458333333334
Sweden,1833,5.875347826086956
Sweden,1834,6.332869565217392
Sweden,1835,5.167666666666666
Sweden,1836,4.749333333333333
Sweden,1837,4.601565217391304
Sweden,1838,3.4498333333333338
Sweden,1839,4.693208333333334
Sweden,1840,4.80495652173913
Sweden,1841,5.092666666666666
Sweden,1842,5.768666666666667
Sweden,1843,5.758869565217392
Sweden,1844,3.599434782608696
Sweden,1845,4.424913043478261
Sweden,1846,6.023
Sweden,1847,4.986086956521739
Sweden,1848,4.910869565217391
Sweden,1849,4.495166666666667
Sweden,1850,4.727291666666667
Sweden,1851,5.115
Sweden,1852,5.2722083333333325
Sweden,1853,4.800583333333333
Sweden,1854,5.618791666666667
Sweden,1855,4.053041666666666
Sweden,1856,3.9156666666666666
Sweden,1857,5.736541666666667
Sweden,1858,5.925083333333333
Sweden,1859,6.377956521739129
Sweden,1860,4.411956521739131
Sweden,1861,5.275125
Sweden,1862,4.228583333333333
Sweden,1863,6.451291666666666
Sweden,1864,4.2860000000000005
Sweden,1865,5.447347826086957
Sweden,1866,5.08675
Sweden,1867,3.0207083333333333
Sweden,1868,5.947333333333334
Sweden,1869,5.132583333333334
Sweden,1870,4.493625
Sweden,1871,3.376375000000001
Sweden,1872,6.275541666666666
Sweden,1873,6.1610000000000005
Sweden,1874,5.499583333333334
Sweden,1875,3.724833333333333
Sweden,1876,3.692782608695652
Sweden,1877,3.9994583333333336
Sweden,1878,5.771833333333333
Sweden,1879,4.298375
Sweden,1880,5.198333333333333
Sweden,1881,3.4615833333333335
Sweden,1882,6.029
Sweden,1883,5.367041666666666
Sweden,1884,5.407416666666667
Sweden,1885,4.705375
Sweden,1886,4.97404347826087
Sweden,1887,5.473416666666666
Sweden,1888,3.9641739130434783
Sweden,1889,5.304916666666666
Sweden,1890,5.7495416666666666
Sweden,1891,5.5027083333333335
Sweden,1892,4.433208333333333
Sweden,1893,4.327
Sweden,1894,6.006913043478261
Sweden,1895,4.817291666666667
Sweden,1896,5.671434782608697
Sweden,1897,5.065695652173913
Sweden,1898,5.57525
Sweden,1899,4.902083333333333
Sweden,1900,4.777416666666666
Sweden,1901,5.7155
Sweden,1902,3.7572608695652177
Sweden,1903,5.609166666666667
Sweden,1904,4.835208333333333
Sweden,1905,5.506958333333333
Sweden,1906,5.959416666666666
Sweden,1907,4.5089565217391305
Sweden,1908,5.2331666666666665
Sweden,1909,4.595083333333333
Sweden,1910,6.260478260869566
Sweden,1911,5.7219565217391315
Sweden,1912,4.964956521739131
Sweden,1913,6.275043478260869
Sweden,1914,6.759136363636364
Sweden,1915,3.8425833333333332
Sweden,1916,5.135166666666667
Sweden,1917,4.640416666666666
Sweden,1918,5.3955416666666665
Sweden,1919,4.689708333333333
Sweden,1920,6.180166666666666
Sweden,1921,5.811652173913044
Sweden,1922,4.5231666666666674
Sweden,1923,4.628583333333332
Sweden,1924,4.725086956521739
Sweden,1925,5.7478750000000005
Sweden,1926,5.136
Sweden,1927,5.169083333333334
Sweden,1928,4.860708333333333
Sweden,1929,5.035833333333334
Sweden,1930,6.892125
Sweden,1931,4.612875
Sweden,1932,6.079125
Sweden,1933,5.75825
Sweden,1934,7.439
Sweden,1935,6.074833333333333
Sweden,1936,6.215083333333333
Sweden,1937,6.355541666666666
Sweden,1938,7.152000000000001
Sweden,1939,5.769782608695651
Sweden,1940,3.9200416666666675
Sweden,1941,3.7792500000000007
Sweden,1942,3.460791666666667
Sweden,1943,6.766500000000001
Sweden,1944,6.440869565217392
Sweden,1945,5.569913043478261
Sweden,1946,5.699333333333333
Sweden,1947,5.644739130434783
Sweden,1948,5.553347826086957
Sweden,1949,7.049166666666667
Sweden,1950,5.926666666666666
Sweden,1951,5.487652173913043
Sweden,1952,4.81925
Sweden,1953,6.727708333333333
Sweden,1954,5.416999999999999
Sweden,1955,5.117833333333333
Sweden,1956,4.207083333333333
Sweden,1957,5.652874999999999
Sweden,1958,4.493
Sweden,1959,6.663541666666666
Sweden,1960,5.568833333333333
Sweden,1961,6.486521739130435
Sweden,1962,4.753304347826087
Sweden,1963,4.808375
Sweden,1964,5.6081666666666665
Sweden,1965,4.757708333333333
Sweden,1966,4.433416666666666
Sweden,1967,5.951541666666667
Sweden,1968,5.281875
Sweden,1969,4.95975
Sweden,1970,4.346958333333333
Sweden,1971,5.429434782608696
Sweden,1972,6.299375
Sweden,1973,6.194375
Sweden,1974,6.617249999999999
Sweden,1975,7.262375000000001
Sweden,1976,5.040041666666666
Sweden,1977,5.303416666666667
Sweden,1978,4.805041666666667
Sweden,1979,4.663826086956521
Sweden,1980,4.87075
Sweden,1981,5.027666666666667
Sweden,1982,5.995565217391304
Sweden,1983,6.391166666666667
Sweden,1984,6.218374999999999
Sweden,1985,3.6337499999999996
Sweden,1986,5.095875
Sweden,1987,3.9415416666666663
Sweden,1988,5.979791666666667
Sweden,1989,7.391750000000001
Sweden,1990,7.404333333333334
Sweden,1991,6.454416666666667
Sweden,1992,6.870291666666667
Sweden,1993,5.693478260869565
Sweden,1994,6.100750000000001
Sweden,1995,6.039916666666667
Sweden,1996,5.149826086956522
Sweden,1997,6.890130434782608
Sweden,1998,5.913458333333334
Sweden,1999,6.848166666666667
Sweden,2000,7.3834583333333335
Sweden,2001,5.845565217391305
Sweden,2002,6.781416666666666
Sweden,2003,6.470541666666667
Sweden,2004,6.496958333333333
Sweden,2005,6.775708333333334
Sweden,2006,6.912608695652175
Sweden,2007,7.047208333333334
Sweden,2008,7.4005833333333335
Sweden,2009,6.435458333333333
Sweden,2010,4.745583333333333
Sweden,2011,7.241416666666667
Sweden,2012,6.093541666666667
Sweden,2013,6.4003125
