Country,Year,AverageTemperature
Ukraine,1743,3.4279999999999995
Ukraine,1744,10.413387096774194
Ukraine,1745,-0.6881249999999997
Ukraine,1750,8.955
Ukraine,1751,9.308
Ukraine,1752,3.0945
Ukraine,1753,8.255333333333333
Ukraine,1754,8.536638297872342
Ukraine,1755,8.180604166666667
Ukraine,1756,9.149127659574468
Ukraine,1757,8.510127659574469
Ukraine,1758,6.961270833333334
Ukraine,1759,8.053625
Ukraine,1760,7.435333333333333
Ukraine,1761,8.659125
Ukraine,1762,8.450416666666667
Ukraine,1763,7.730489361702128
Ukraine,1764,8.703833333333334
Ukraine,1765,8.828191489361702
Ukraine,1766,8.477479166666667
Ukraine,1767,8.121395833333333
Ukraine,1768,7.273382978723404
Ukraine,1769,8.138333333333334
Ukraine,1770,8.033212765957446
Ukraine,1771,7.624958333333333
Ukraine,1772,8.994319148936171
Ukraine,1773,8.952729166666666
Ukraine,1774,8.537191489361701
Ukraine,1775,9.4865625
Ukraine,1776,8.161520833333332
Ukraine,1777,8.014145833333332
Ukraine,1778,9.207152173913043
Ukraine,1779,9.249913043478262
Ukraine,1780,8.380374999999999
Ukraine,1781,8.586234042553192
Ukraine,1782,7.854479166666667
Ukraine,1783,8.511125
Ukraine,1784,8.118826086956522
Ukraine,1785,7.0239375
Ukraine,1786,7.644854166666668
Ukraine,1787,8.415170212765958
Ukraine,1788,7.979354166666666
Ukraine,1789,9.241978723404255
Ukraine,1790,8.474604166666667
Ukraine,1791,9.470446808510639
Ukraine,1792,8.263270833333333
Ukraine,1793,8.440854166666666
Ukraine,1794,9.131583333333333
Ukraine,1795,8.443104166666666
Ukraine,1796,8.435583333333334
Ukraine,1797,9.754914893617022
Ukraine,1798,8.80495744680851
Ukraine,1799,7.353458333333333
Ukraine,1800,8.357375
Ukraine,1801,9.106130434782608
Ukraine,1802,9.3623125
Ukraine,1803,7.601063829787234
Ukraine,1804,8.211791666666667
Ukraine,1805,7.688914893617022
Ukraine,1806,8.76831914893617
Ukraine,1807,9.088297872340425
Ukraine,1808,7.6315625
Ukraine,1809,7.043106382978723
Ukraine,1810,7.518604166666666
Ukraine,1811,8.3213125
Ukraine,1812,6.9853125
Ukraine,1813,7.357148936170213
Ukraine,1814,7.524229166666667
Ukraine,1815,7.137021276595744
Ukraine,1816,7.7436808510638295
Ukraine,1817,8.031291666666666
Ukraine,1818,8.210595744680852
Ukraine,1819,8.365145833333333
Ukraine,1820,7.581291666666666
Ukraine,1821,7.950446808510638
Ukraine,1822,8.59223404255319
Ukraine,1823,8.624333333333334
Ukraine,1824,9.759291666666668
Ukraine,1825,8.126916666666666
Ukraine,1826,8.42675
Ukraine,1827,9.262829787234043
Ukraine,1828,7.873446808510638
Ukraine,1829,6.599687499999999
Ukraine,1830,7.785413043478261
Ukraine,1831,7.432851063829787
Ukraine,1832,6.166687499999999
Ukraine,1833,8.122583333333333
Ukraine,1834,8.6986875
Ukraine,1835,7.6128333333333345
Ukraine,1836,8.388479166666666
Ukraine,1837,7.397520833333332
Ukraine,1838,6.953708333333334
Ukraine,1839,7.779063829787233
Ukraine,1840,6.799787234042554
Ukraine,1841,8.826416666666667
Ukraine,1842,7.290893617021277
Ukraine,1843,8.475891304347826
Ukraine,1844,7.438354166666667
Ukraine,1845,7.942958333333333
Ukraine,1846,8.543212765957447
Ukraine,1847,7.511382978723404
Ukraine,1848,8.763978723404255
Ukraine,1849,7.898020833333334
Ukraine,1850,8.120979166666666
Ukraine,1851,9.1074375
Ukraine,1852,8.079020833333333
Ukraine,1853,8.330851063829787
Ukraine,1854,8.315212765957448
Ukraine,1855,7.897520833333334
Ukraine,1856,7.9630638297872345
Ukraine,1857,8.193375
Ukraine,1858,7.262270833333333
Ukraine,1859,9.180395833333334
Ukraine,1860,8.488291666666667
Ukraine,1861,7.060042553191489
Ukraine,1862,7.212208333333333
Ukraine,1863,9.147604166666666
Ukraine,1864,7.1792291666666666
Ukraine,1865,7.935874999999999
Ukraine,1866,8.627229166666666
Ukraine,1867,7.8180625
Ukraine,1868,8.581354166666667
Ukraine,1869,9.033645833333333
Ukraine,1870,7.306416666666667
Ukraine,1871,6.963916666666667
Ukraine,1872,9.257510638297873
Ukraine,1873,8.692425531914893
Ukraine,1874,8.418270833333333
Ukraine,1875,6.6414583333333335
Ukraine,1876,7.8120416666666666
Ukraine,1877,7.845937500000001
Ukraine,1878,9.000916666666667
Ukraine,1879,7.806234042553192
Ukraine,1880,7.541583333333333
Ukraine,1881,6.992541666666667
Ukraine,1882,8.948708333333334
Ukraine,1883,7.857104166666667
Ukraine,1884,7.97325
Ukraine,1885,8.516729166666666
Ukraine,1886,8.446979166666667
Ukraine,1887,8.427395833333334
Ukraine,1888,7.159958333333335
Ukraine,1889,7.834659574468085
Ukraine,1890,8.300854166666667
Ukraine,1891,8.03908695652174
Ukraine,1892,8.32295744680851
Ukraine,1893,7.0839375
Ukraine,1894,7.922170212765957
Ukraine,1895,8.114282608695651
Ukraine,1896,7.9325624999999995
Ukraine,1897,8.655304347826087
Ukraine,1898,8.172638297872341
Ukraine,1899,8.460208333333334
Ukraine,1900,8.701
Ukraine,1901,8.793291666666667
Ukraine,1902,7.502829787234043
