uid,data_type,pI,length,molecular_weight,label,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,hydro_total,hydro_mean,charge_Sillero,charge_EMBOSS,charge_DTASelect,charge_Solomon,charge_Rodwell
aad29ccbb29b5d8793170cfec71808e2,protein,3.8,513,54073.08,1,34,24,24,19,16,63,5,12,14,28,7,33,26,23,12,57,58,24,9,25,-224.2,-0.437,-16.24,-16.538,-16.557,-17.661,-17.686
83af3e734e9f5fed32fba8e0410595f7,peptide,3.83,13,1597.72,1,1,0,1,2,0,0,0,0,1,1,1,1,0,3,0,0,1,0,0,1,-22.9,-1.762,-2.053,-2.022,-2.085,-1.999,-2.088
609cfa09a6cd5990070a6c87902452ce,peptide,11.49,17,1822.05,0,1,0,0,0,0,1,1,1,1,0,0,2,1,1,1,1,3,3,0,0,-8.1,-0.476,2.141,2.216,2.148,2.088,2.0
62215e4c497d4ac63018f5b04a9604d6,peptide,4.09,22,2105.29,1,4,0,0,4,0,2,0,0,1,0,0,0,5,0,0,3,0,3,0,0,-9.3,-0.423,-3.047,-3.019,-3.082,-2.995,-3.084
7434ea9a039922713269892111f186b8,protein,4.58,478,54305.59,1,34,14,32,34,23,37,9,14,20,32,7,15,37,26,36,34,19,22,10,23,-345.8,-0.723,-8.283,-8.244,-8.236,-9.784,-9.844
3e327f8ecd45d49a60207ddd189a2b98,peptide,3.74,23,2503.53,1,0,0,2,5,0,4,0,1,1,1,0,1,1,3,1,2,1,0,0,0,-44.1,-1.917,-5.042,-5.016,-5.074,-4.991,-5.081
4fb808e0ac8379e3f535e2d85056be5d,peptide,3.954,21,2215.46,1,2,0,2,0,0,3,0,1,0,2,1,1,1,0,1,1,3,1,0,2,-1.5,-0.071,-1.059,-1.024,-1.088,-1.002,-1.092
c73b88e8f015c0ace63fb72441d6f3d5,peptide,11.05,9,978.16,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,1,0,0,0,-4.1,-0.456,0.941,0.976,0.909,0.998,0.909
b8d4e5fee13b5ecc7a5e9d3815bbb72e,protein,4.99,89,10434.65,1,3,5,7,17,3,3,4,0,7,11,2,2,2,2,7,4,5,5,0,0,-87.8,-0.987,-9.248,-9.191,-9.23,-9.84,-9.917
e66558f711a2c9aa4ee9b1c33bc41786,protein,4.89,514,56867.53,1,44,3,38,42,25,43,7,36,45,27,14,24,19,12,15,23,28,45,5,19,-149.3,-0.29,-18.55,-18.374,-18.365,-19.425,-19.514
61d1c28a41354674ef9775e61945e833,protein,4.9,382,40949.1,1,43,8,18,24,12,34,9,26,20,39,8,22,16,9,14,12,27,30,1,10,30.5,0.08,-6.256,-6.074,-6.099,-7.518,-7.588
