organism,avg_length,std_length,total_aa,bootstrap_length_std,sequence_count,taxonomy_group,%A,%C,%D,%E,%F,%G,%H,%I,%K,%L,%M,%N,%P,%Q,%R,%S,%T,%V,%W,%Y,N_term_%A,N_term_%C,N_term_%D,N_term_%E,N_term_%F,N_term_%G,N_term_%H,N_term_%I,N_term_%K,N_term_%L,N_term_%M,N_term_%N,N_term_%P,N_term_%Q,N_term_%R,N_term_%S,N_term_%T,N_term_%V,N_term_%W,N_term_%Y,bootstrap_std_%A,bootstrap_std_%C,bootstrap_std_%D,bootstrap_std_%E,bootstrap_std_%F,bootstrap_std_%G,bootstrap_std_%H,bootstrap_std_%I,bootstrap_std_%K,bootstrap_std_%L,bootstrap_std_%M,bootstrap_std_%N,bootstrap_std_%P,bootstrap_std_%Q,bootstrap_std_%R,bootstrap_std_%S,bootstrap_std_%T,bootstrap_std_%V,bootstrap_std_%W,bootstrap_std_%Y
Neisseria_gonorrhoeae__strain_ATCC_700825___FA_1090_,271.4059829059829,208.41221285598567,571581,6.7079773772427105,2106,Bacteria,10.282007274559511,1.1030807532090814,5.266795082411766,6.16395576479974,4.163014515877889,7.8959937436688765,2.161373453631244,5.733395616719241,5.673561577449215,9.73702764787493,2.5018326361443086,4.0073060511108665,4.329745040510444,3.8384760865039254,5.720798976872919,5.423553267165984,5.070672398137797,6.779791490619877,1.181284892254991,2.966333730477395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09995151113275867,0.02403998028969006,0.047278485175356565,0.06899140579545687,0.04839521785999498,0.06674241297715994,0.035693768421270186,0.04948683421718714,0.06659721767172853,0.0770889738069825,0.03337089073509602,0.053678868600363694,0.04125465653743041,0.05628272982443653,0.0608657332202192,0.05416232092766674,0.04544391240996988,0.06434084059622378,0.02801628417410824,0.04442502704998312
Streptobacillus_moniliformis__strain_ATCC_14647___DSM_12112___NCTC_10651___9901_,338.46261355695316,264.43380404639936,484340,9.021980654512621,1431,Bacteria,4.733658174009993,0.532683651980014,5.6092827352686125,7.816616426477268,4.719824916381055,6.1498121154560845,1.2757566998389562,10.403848536152289,10.365032828178553,9.475162076227443,2.2587438576206798,7.30086303010282,2.230045009703927,1.8794648387496387,3.2365693521080234,6.436800594623611,4.710740388982946,5.794276747739191,0.5696411611677746,4.501176859231118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08182087308054785,0.018025114802228518,0.06927278943834245,0.08899587086633773,0.07506608683830665,0.09354410607465667,0.02852520584703134,0.10769159368961263,0.09561648106337173,0.07795307830477553,0.04015407210518611,0.10023488929202443,0.05132180041554785,0.03172037827310563,0.05311356266876733,0.07614687069161283,0.06407073292456957,0.05568426109122806,0.020448506728496883,0.050583934050732346
Mycobacterium_leprae__strain_TN_,336.01809107922645,259.02960673427845,538637,8.952054856059585,1603,Bacteria,11.728121165088918,0.9525895918772753,5.895807380480732,5.083200745585617,2.978443738547482,8.429795947920399,2.2272885078448006,4.839994281863295,2.676756331258343,10.027161149345478,2.1071705062964483,2.6548491841444237,5.375791117208807,3.276418070054601,6.955890516247491,5.966541474128216,6.102254393961053,9.09833524247313,1.3827494212243125,2.2408412344491744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946693736760567,0.023742007105180266,0.050076690546546045,0.06286153413775096,0.04026586792733708,0.06427584405551164,0.028696626285499103,0.04846955429460517,0.05870756420138096,0.0618617626923168,0.03083286684878983,0.03824389999448417,0.05630835510979234,0.03908778855938541,0.06400964290745668,0.04896895103276707,0.044039053499578845,0.06887521880721773,0.03135351662813827,0.04104120084139933
Clostridium_tetani__strain_Massachusetts___E88_,335.1354037267081,200.52490407022574,809352,6.616957940405848,2415,Bacteria,5.228750901956133,1.1274451660093507,5.389373226976643,7.643645780822189,4.413407269025097,6.316905376152775,1.3420613033636786,10.456266247565955,9.961920153406675,9.00621731953464,2.6064061125443563,6.555120639721654,2.745776868408307,2.146037817908648,3.285467880477221,6.16332572230624,4.6733683242890605,6.16542616809497,0.6422421888127786,4.13083553262363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08415987496010756,0.024718227393214488,0.050736440595063874,0.07900496545761534,0.045416349895965345,0.06308666090179962,0.02506971206244399,0.08123384744366385,0.07414922656178846,0.06997069560193488,0.03370627186506983,0.06406444552681277,0.038386296536808646,0.032098415350009936,0.048302192742113545,0.049736082135395945,0.042996796995636286,0.05925104515888009,0.021167233682669637,0.051885565949208394
Methylovorus_glucosotrophus__strain_SIP3-4_,321.2077743378053,233.09273494404434,933751,6.591928528101619,2907,Bacteria,10.49358983283552,0.8219536043334894,5.379485537364887,5.746178585083175,3.642727022514568,7.297234487566814,2.385111234151289,5.727008592226408,4.487920227126932,10.681862723574058,2.688511176962595,3.622807365132675,4.544145066511308,4.539647079360558,5.562510776427549,6.003848991861856,5.284599427470493,6.952817185737954,1.3009892358883686,2.8370518478695073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895634809085277,0.017648528519101498,0.04943095564679907,0.06165856187436564,0.052908936685234706,0.06054042153347227,0.04388193669971904,0.057644630249605755,0.06752707839909163,0.08903995419260788,0.03958227310415787,0.04006401579503045,0.04874722944032856,0.05772094064930011,0.05408626876603373,0.05058336694024577,0.05442680189774975,0.056423840185682306,0.029453282109243247,0.03867280103834482
Psychromonas_ingrahamii__strain_DSM_17664___CCUG_51855___37_,332.55382436260624,251.41714052088253,1173915,7.753887440916327,3530,Bacteria,8.321130575893484,1.0917315137808103,5.35933180852106,5.866268000664443,4.376126039789933,6.5453631651354645,2.08532985778357,7.374213635569866,6.121823130294783,10.75580429588173,2.4324589088647817,4.823688256815868,3.6325457976088558,4.445977775222226,3.995689636813568,6.738392473049581,5.379691033848276,6.422781887956113,1.138157362330322,3.0934948441752597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08147700610132547,0.025126569012302785,0.042765583043302934,0.06338980888401378,0.04811153160106165,0.05990575493434557,0.03183785157840835,0.05069962204238091,0.05473173709068542,0.07016082457562971,0.03383202571736959,0.04370541996863726,0.03276045551545872,0.048191545782278945,0.0512680162842917,0.0433358094245911,0.0414823350329365,0.052843712842180944,0.025549880589510344,0.039706523773423194
Agrobacterium_fabrum__strain_C58___ATCC_33970_,310.780127245509,204.20495505605365,1660809,7.410049392439973,5344,Bacteria,11.572251836303874,0.7976835385646394,5.588782334392456,5.816020987362183,4.0530247608243934,8.26603179534793,2.009683232689611,5.797174750377677,3.892259736068386,9.924982342942505,2.6004194341432396,2.98565337736007,4.782488534202307,3.1248626422424253,6.56396972800605,5.945777027942407,5.3753923539672535,7.338351369724032,1.252221056123853,2.312969161414708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974728048021033,0.022129040537941586,0.05303686793103235,0.07392872280158676,0.04824933031878853,0.061907271261850284,0.03836456822944739,0.05621579272079315,0.059880504109211065,0.07579481144592541,0.03212686216357613,0.032789216134831205,0.051738439653088844,0.0349377671197227,0.07022874565878569,0.054608707905566295,0.041038162641556256,0.05958837474711126,0.026400524916936015,0.038261301472335106
Allochromatium_vinosum__strain_ATCC_17899___DSM_180___NBRC_103801___NCIMB_10441___D_,341.90376829648085,259.0038130375423,1097853,8.657133751877698,3211,Bacteria,11.15586512948455,0.9647921898469103,5.894049567656143,6.56900331829489,3.3366944390551376,7.895319318706603,2.316703602394856,4.979810593950192,2.559085779243669,11.636894921269059,2.11203139218092,2.398226356351898,5.35016983148017,3.7033191146720004,8.175320375314364,5.210260390052221,5.136753281176988,6.917319531849893,1.3990033274035778,2.2893775396159595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710336152126261,0.019609347408432863,0.047814097798106525,0.06341319187346689,0.04008465157988397,0.060146228107203624,0.03262495070032184,0.0436217382233986,0.047913642708142544,0.09146604792510962,0.036775240475570445,0.0300367631590697,0.052391976056170325,0.03613003672745073,0.08024114122499071,0.04059048186172365,0.037386885313718934,0.058309839307811064,0.02714651679217888,0.03612653182152815
Blattabacterium_sp._subsp._Periplaneta_americana__strain_BPLAN_,343.5249569707401,217.36317194171698,199588,8.635462134369256,581,Bacteria,3.8263823476361307,1.0065735414954808,4.239232819608393,6.3560935527186,5.906667735535202,5.8034551175421365,2.295729202156442,11.084834759604787,10.880914684249554,9.33222438222739,2.254644567809688,5.971300879812413,3.285768683487985,2.9285327775216947,3.8198689299957915,7.183297593041665,4.097440727899473,4.733751528147985,0.8788103493195984,4.114475820189591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08565727758076981,0.029761794424803395,0.05683465176442687,0.08765172408019441,0.11226426605666019,0.08067042677793136,0.03801115147712276,0.10382871373741333,0.09828969855484233,0.07945668182249532,0.04054055665774768,0.06691129236581428,0.05033384929047519,0.04443043428805452,0.05533624621105888,0.07047373655239123,0.054166283783052216,0.07937508703173157,0.03650049228907153,0.05990579691245682
Maritimibacter_alkaliphilus_HTCC2654,290.5460358056266,232.8371598808265,1363242,6.915286220041801,4692,Bacteria,12.122132387353089,0.797290576434705,6.540731579572813,6.10038423111964,3.793750485973877,8.894679007835734,2.0352219195124563,5.1283631226150606,3.186008060197676,9.530222807102481,2.835006550561089,2.573644297930962,5.090658885216271,2.8602405148902394,6.710987484247111,4.934780471845792,5.722608311657065,7.522802261080572,1.3879413926507547,2.232545652202617,0.021312872975277068,0.0,0.021312872975277068,0.021312872975277068,0.0,0.0,0.021312872975277068,0.0,0.0,0.042625745950554135,99.7229326513214,0.0,0.021312872975277068,0.021312872975277068,0.021312872975277068,0.021312872975277068,0.042625745950554135,0.021312872975277068,0.0,0.0,0.09978930348525136,0.02253897596355365,0.06174340010188007,0.07066994068671356,0.04223846984500276,0.06923716981843195,0.03577837494269509,0.04920748100618451,0.0629436171039125,0.07101049005460697,0.0346183892007297,0.036510361086395514,0.04955229439394927,0.04045691753254934,0.06420289371001443,0.041629362834223964,0.04321737984238892,0.05681653115268185,0.027437226373403054,0.038345108188699184
